,Training Time (Seconds),Accuracy/Coord_Acc Train,Accuracy/Coord_Acc Validation,Accuracy/Coord_Acc Test,MSE Train,MSE Validation,MSE Test,MAE Train,MAE Validation,MAE Test,Precision/IoU Train,Precision/IoU Validation,Precision/IoU Test,Recall Train,Recall Validation,Recall Test,F1-Score Train,F1-Score Validation,F1-Score Test,R2 Score Train,R2 Score Validation,R2 Score Test
RandomForestClassifier,1.129911184310913,1.0,0.965,0.9825,0.0,0.1550000011920929,0.07500000298023224,0.0,0.03500000014901161,0.03500000014901161,1.0,0.9668081945598381,0.9828998778998781,1.0,0.965,0.9825,1.0,0.9650931090408783,0.9823695528689265,1.0,0.8500958057048217,0.9285880063556674
Optimized RandomForest,1.2383263111114502,0.9995238095238095,0.9725,0.9775,0.0019047618843615055,0.1274999976158142,0.10249999910593033,0.02648809552192688,0.03269047662615776,0.035158731043338776,0.9995250593675792,0.9736443341604633,0.9783065025252526,0.9995238095238095,0.9725,0.9775,0.9995239795667673,0.9725206931798798,0.9774311040766421,0.9981004775037742,0.8766917111442888,0.9024036086860788
CNN Classification,218.5940923690796,0.981904761904762,0.9625,0.9575,0.1128571406006813,0.21250000596046448,0.2574999928474426,0.036462586373090744,0.04284226521849632,0.04947090148925781,0.9820248919284243,0.9642242494824018,0.9582733585858585,0.981904761904762,0.9625,0.9575,0.9818513782262419,0.9623542915747347,0.9571030190792024,0.8874532920986196,0.7944861852404814,0.7548188218211248
CNN Classification Denoised,278.9151599407196,0.9842857142857143,0.965,0.955,0.11047618836164474,0.2150000035762787,0.27250000834465027,0.04861905053257942,0.05192640796303749,0.056557539850473404,0.9843488933564526,0.965505376344086,0.9556019072301968,0.9842857142857143,0.965,0.955,0.9842730927627077,0.9649928977272728,0.9546081913172286,0.8898276952189019,0.7920683756550753,0.7405364230922583
Augmented Fast R-CNN,1395.1351506710052,1.0,1.0,1.0,1.3746678e-05,4.2981783e-06,1.2031605e-05,0.0025124543,0.0017860106,0.0025031718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99998623,0.9999957,0.99998796
CNN Detection Model,350.1586260795593,0.7973696571160169,0.791542288557214,0.780295566502463,0.0015350888716056943,0.002223952440544963,0.0027791825123131275,0.007801815401762724,0.008468990214169025,0.008775548078119755,0.18475550040383248,0.1747322847864416,0.17650956113880967,N/A,N/A,N/A,N/A,N/A,N/A,0.9773643612861633,0.9651086926460266,0.9579474925994873
