,Training Time (s),Test Accuracy/Coord_Acc,Test MSE,Test MAE,Test R2
RandomForestClassifier,1.129911184310913,0.9825,0.07500000298023224,0.03500000014901161,0.9285880063556674
Optimized RandomForest,1.2383263111114502,0.9775,0.10249999910593033,0.035158731043338776,0.9024036086860788
CNN Classification,218.5940923690796,0.9575,0.2574999928474426,0.04947090148925781,0.7548188218211248
CNN Classification Denoised,278.9151599407196,0.955,0.27250000834465027,0.056557539850473404,0.7405364230922583
Augmented Fast R-CNN,1395.1351506710052,1.0,1.2031605e-05,0.0025031718,0.99998796
CNN Detection Model,350.1586260795593,0.780295566502463,0.0027791825123131275,0.008775548078119755,0.9579474925994873
